id,name,pop,labor_force,employed,unemployed,unemployment_rate
13001,Appling,11932,8746.0,7710.0,1036.0,11.8
13003,Atkinson,5447,3451.0,2925.0,526.0,15.2
13005,Bacon,7210,4542.0,4059.0,483.0,10.6
13007,Baker,2248,1232.0,1083.0,149.0,12.1
13009,Baldwin,32293,19192.0,16243.0,2949.0,15.4
13011,Banks,12296,8457.0,7640.0,817.0,9.7
13013,Barrow,46482,34670.0,30939.0,3731.0,10.8
13015,Bartow,67292,47837.0,42007.0,5830.0,12.2
13017,Ben Hill,11231,6516.0,5481.0,1035.0,15.9
13019,Berrien,12571,7990.0,6951.0,1039.0,13.0
13021,Bibb,102677,70225.0,62053.0,8172.0,11.6
13023,Bleckley,8727,5474.0,4792.0,682.0,12.5
13025,Brantley,12147,7468.0,6516.0,952.0,12.7
13027,Brooks,10575,7309.0,6605.0,704.0,9.6
13029,Bryan,20353,14455.0,13070.0,1385.0,9.6
13031,Bulloch,52157,33132.0,29802.0,3330.0,10.1
13033,Burke,15140,9791.0,8601.0,1190.0,12.2
13035,Butts,16326,10491.0,9288.0,1203.0,11.5
13037,Calhoun,4774,2620.0,2390.0,230.0,8.8
13039,Camden,34719,20695.0,18643.0,2052.0,9.9
13043,Candler,7073,4917.0,4482.0,435.0,8.8
13045,Carroll,75087,51817.0,45762.0,6055.0,11.7
13047,Catoosa,42224,31351.0,28665.0,2686.0,8.6
13049,Charlton,9142,4797.0,4288.0,509.0,10.6
13051,Chatham,182493,127323.0,114777.0,12546.0,9.9
13053,Chattahoochee,8093,2218.0,1976.0,242.0,10.9
13055,Chattooga,17303,10671.0,9425.0,1246.0,11.7
13057,Cherokee,145501,112578.0,102687.0,9891.0,8.8
13059,Clarke,89865,56637.0,51361.0,5276.0,9.3
13061,Clay,1945,1101.0,973.0,128.0,11.6
13063,Clayton,179649,125156.0,108243.0,16913.0,13.5
13065,Clinch,4396,2900.0,2579.0,321.0,11.1
13067,Cobb,482713,380297.0,344871.0,35426.0,9.3
13069,Coffee,28801,17202.0,14484.0,2718.0,15.8
13071,Colquitt,29193,21316.0,19247.0,2069.0,9.7
13073,Columbia,84291,61522.0,57027.0,4495.0,7.3
13075,Cook,10972,7885.0,6966.0,919.0,11.7
13077,Coweta,85599,64319.0,58095.0,6224.0,9.7
13079,Crawford,8618,5769.0,5109.0,660.0,11.4
13081,Crisp,15094,9208.0,7901.0,1307.0,14.2
13083,Dade,11347,8348.0,7624.0,724.0,8.7
13085,Dawson,14906,10966.0,9771.0,1195.0,10.9
13087,Decatur,18085,12446.0,10897.0,1549.0,12.4
13089,De Kalb,491115,363001.0,323687.0,39314.0,10.8
13091,Dodge,14742,8361.0,7271.0,1090.0,13.0
13093,Dooly,10191,4960.0,4386.0,574.0,11.6
13095,Dougherty,62675,41490.0,36281.0,5209.0,12.6
13097,Douglas,90420,66575.0,59108.0,7467.0,11.2
13099,Early,6838,4478.0,3953.0,525.0,11.7
13101,Echols,2664,1876.0,1722.0,154.0,8.2
13103,Effingham,35395,25777.0,23310.0,2467.0,9.6
13105,Elbert,12854,8934.0,7605.0,1329.0,14.9
13107,Emanuel,14650,9118.0,7946.0,1172.0,12.9
13109,Evans,7082,4769.0,4336.0,433.0,9.1
13111,Fannin,14725,10271.0,9070.0,1201.0,11.7
13113,Fayette,71490,52927.0,48564.0,4363.0,8.2
13115,Floyd,63181,45087.0,39750.0,5337.0,11.8
13117,Forsyth,115024,88343.0,81251.0,7092.0,8.0
13119,Franklin,14260,9698.0,8468.0,1230.0,12.7
13121,Fulton,657012,485002.0,434315.0,50687.0,10.5
13123,Gilmer,18115,12811.0,11366.0,1445.0,11.3
13125,Glascock,1938,1324.0,1178.0,146.0,11.0
13127,Glynn,51747,38340.0,34508.0,3832.0,10.0
13129,Gordon,36469,26068.0,22749.0,3319.0,12.7
13131,Grady,16079,10399.0,9309.0,1090.0,10.5
13133,Greene,9850,6412.0,5567.0,845.0,13.2
13135,Gwinnett,557038,418368.0,379794.0,38574.0,9.2
13137,Habersham,27789,18347.0,16390.0,1957.0,10.7
13139,Hall,117660,86546.0,78205.0,8341.0,9.6
13141,Hancock,6624,3104.0,2393.0,711.0,22.9
13143,Haralson,18718,12385.0,10866.0,1519.0,12.3
13145,Harris,21783,16415.0,15149.0,1266.0,7.7
13147,Hart,16037,10959.0,9697.0,1262.0,11.5
13149,Heard,7820,5249.0,4615.0,634.0,12.1
13151,Henry,139252,101141.0,90686.0,10455.0,10.3
13153,Houston,95124,67099.0,61422.0,5677.0,8.5
13155,Irwin,6183,3674.0,3135.0,539.0,14.7
13157,Jackson,39963,28656.0,25660.0,2996.0,10.5
13159,Jasper,9237,6873.0,6069.0,804.0,11.7
13161,Jeff Davis,9665,6372.0,5557.0,815.0,12.8
13163,Jefferson,10905,7158.0,6151.0,1007.0,14.1
13165,Jenkins,5192,3229.0,2738.0,491.0,15.2
13167,Johnson,6841,4240.0,3781.0,459.0,10.8
13169,Jones,18947,13698.0,12366.0,1332.0,9.7
13171,Lamar,12571,8160.0,6998.0,1162.0,14.2
13173,Lanier,6662,3872.0,3464.0,408.0,10.5
13175,Laurens,31243,20599.0,17879.0,2720.0,13.2
13177,Lee,19519,14345.0,13047.0,1298.0,9.0
13179,Liberty,42546,26927.0,24493.0,2434.0,9.0
13181,Lincoln,5266,3679.0,3256.0,423.0,11.5
13183,Long,9797,6231.0,5706.0,525.0,8.4
13185,Lowndes,76174,51019.0,46120.0,4899.0,9.6
13187,Lumpkin,21288,14711.0,13184.0,1527.0,10.4
13189,McDuffie,14129,9447.0,8204.0,1243.0,13.2
13191,McIntosh,9385,6289.0,5625.0,664.0,10.6
13193,Macon,10231,5383.0,4672.0,711.0,13.2
13195,Madison,18800,13374.0,11984.0,1390.0,10.4
13197,Marion,5822,3723.0,3326.0,397.0,10.7
13199,Meriwether,14092,9336.0,8054.0,1282.0,13.7
13201,Miller,3809,2803.0,2512.0,291.0,10.4
13205,Mitchell,15500,9646.0,8602.0,1044.0,10.8
13207,Monroe,17933,12551.0,11273.0,1278.0,10.2
13209,Montgomery,6182,3876.0,3411.0,465.0,12.0
13211,Morgan,11484,8630.0,7729.0,901.0,10.4
13213,Murray,26461,17181.0,14812.0,2369.0,13.8
13215,Muscogee,128494,81718.0,73484.0,8234.0,10.1
13217,Newton,66383,47977.0,41899.0,6078.0,12.7
13219,Oconee,21767,16837.0,15635.0,1202.0,7.1
13221,Oglethorpe,9897,7079.0,6396.0,683.0,9.6
13223,Paulding,96516,73735.0,66352.0,7383.0,10.0
13225,Peach,19297,12918.0,11359.0,1559.0,12.1
13227,Pickens,19063,14045.0,12505.0,1540.0,11.0
13229,Pierce,12077,8245.0,7387.0,858.0,10.4
13231,Pike,11742,8505.0,7599.0,906.0,10.7
13233,Polk,26552,18690.0,16444.0,2246.0,12.0
13235,Pulaski,7927,4530.0,4112.0,418.0,9.2
13237,Putnam,13480,9053.0,7883.0,1170.0,12.9
13239,Quitman,1514,1006.0,905.0,101.0,10.0
13241,Rabun,10111,7141.0,6298.0,843.0,11.8
13243,Randolph,4884,2979.0,2616.0,363.0,12.2
13245,Richmond,137205,87887.0,78209.0,9678.0,11.0
13247,Rockdale,57753,41960.0,37210.0,4750.0,11.3
13249,Schley,3116,2165.0,1903.0,262.0,12.1
13251,Screven,9490,5804.0,4818.0,986.0,17.0
13253,Seminole,5415,3383.0,2959.0,424.0,12.5
13255,Spalding,41888,28669.0,24409.0,4260.0,14.9
13257,Stephens,16907,11892.0,10429.0,1463.0,12.3
13259,Stewart,4504,2402.0,2154.0,248.0,10.3
13261,Sumter,21764,14262.0,12370.0,1892.0,13.3
13263,Talbot,4566,2875.0,2585.0,290.0,10.1
13265,Taliaferro,1094,634.0,520.0,114.0,18.0
13267,Tattnall,17998,9678.0,8802.0,876.0,9.1
13269,Taylor,5747,3255.0,2784.0,471.0,14.5
13271,Telfair,11527,5234.0,4462.0,772.0,14.7
13273,Terrell,6159,3917.0,3439.0,478.0,12.2
13275,Thomas,28781,17884.0,15874.0,2010.0,11.2
13277,Tift,26407,18784.0,16537.0,2247.0,12.0
13279,Toombs,17146,12303.0,10792.0,1511.0,12.3
13281,Towns,6085,4341.0,3783.0,558.0,12.9
13283,Treutlen,4473,2945.0,2589.0,356.0,12.1
13285,Troup,44156,32546.0,28788.0,3758.0,11.5
13287,Turner,5781,3530.0,2944.0,586.0,16.6
13289,Twiggs,6032,3265.0,2760.0,505.0,15.5
13291,Union,12525,9502.0,8456.0,1046.0,11.0
13293,Upson,17639,11932.0,10471.0,1461.0,12.2
13295,Walker,45135,30980.0,27788.0,3192.0,10.3
13297,Walton,55132,41037.0,36667.0,4370.0,10.6
13299,Ware,23672,15561.0,13847.0,1714.0,11.0
13301,Warren,3631,2657.0,2200.0,457.0,17.2
13303,Washington,14185,8124.0,6943.0,1181.0,14.5
13305,Wayne,19987,12377.0,10886.0,1491.0,12.0
13307,Webster,1776,1043.0,909.0,134.0,12.8
13309,Wheeler,5661,1937.0,1644.0,293.0,15.1
13311,White,17338,12902.0,11589.0,1313.0,10.2
13313,Whitfield,66725,47639.0,41978.0,5661.0,11.9
13315,Wilcox,6463,2935.0,2570.0,365.0,12.4
13317,Wilkes,6597,4017.0,3486.0,531.0,13.2
13319,Wilkinson,6104,3842.0,3303.0,539.0,14.0
13321,Worth,14199,9781.0,8597.0,1184.0,12.1