id,name,pop1994,pop2004,pop2014
13241,Rabun,7771,10081,9802
13281,Towns,4489,5946,6277
13213,Murray,19649,26776,25951
13111,Fannin,10669,14008,14214
13313,Whitfield,52473,60344,67158
13047,Catoosa,31067,38921,42464
13291,Union,8425,11908,12162
13083,Dade,9278,10971,10944
13295,Walker,39161,42290,44303
13123,Gilmer,9828,17208,17620
13137,Habersham,19590,25569,27724
13311,White,9558,15725,17403
13187,Lumpkin,11159,17669,21416
13257,Stephens,15905,16643,16101
13129,Gordon,25269,32980,36772
13085,Dawson,7702,12981,14784
13055,Chattooga,14532,16887,16174
13115,Floyd,54503,62139,62302
13227,Pickens,10705,18053,18772
13119,Franklin,11313,13901,14050
13139,Hall,71190,104934,122515
13147,Hart,12939,15319,15639
13011,Banks,7357,10889,11942
13015,Bartow,41049,58998,67548
13057,Cherokee,75054,118839,153722
13117,Forsyth,39749,86701,132957
13157,Jackson,21911,32504,40210
13105,Elbert,11843,13424,12177
13195,Madison,15292,18110,18556
13121,Fulton,481648,578325,698555
13135,Gwinnett,307777,482491,600076
13013,Barrow,22702,37129,48199
13233,Polk,22253,25885,26028
13067,Cobb,365781,453022,503591
13223,Paulding,38178,72156,100823
13221,Oglethorpe,7029,9112,9453
13059,Clarke,66381,85050,90743
13317,Wilkes,6445,6809,6043
13181,Lincoln,5015,5483,4863
13089,De Kalb,411539,472489,501356
13219,Oconee,13484,18836,22849
13297,Walton,29546,47056,56555
13143,Haralson,14789,18007,18395
13211,Morgan,8771,10802,11319
13045,Carroll,51619,68159,76938
13097,Douglas,55075,74445,93778
13247,Rockdale,42095,52746,58221
13133,Greene,7628,9954,9499
13217,Newton,31992,53791,68096
13265,Taliaferro,1025,1220,1053
13073,Columbia,54494,69554,93229
13189,McDuffie,13437,13934,13491
13063,Clayton,136728,174790,181628
13151,Henry,54281,109010,145228
13301,Warren,3570,3972,3390
13113,Fayette,51814,67875,71736
13245,Richmond,131434,134052,135608
13159,Jasper,5646,8405,8661
13077,Coweta,45313,70313,90126
13237,Putnam,10234,13159,12860
13141,Hancock,5422,6683,5655
13035,Butts,10391,15143,15825
13149,Heard,6074,7349,7585
13255,Spalding,36977,39905,40554
13125,Glascock,1487,1708,1946
13163,Jefferson,10657,10900,10224
13033,Burke,13108,14664,14458
13303,Washington,12219,14071,13495
13199,Meriwether,14382,14644,13350
13285,Troup,36374,40455,45322
13231,Pike,7076,10230,11713
13171,Lamar,8894,11187,12138
13207,Monroe,12348,16220,17951
13009,Baldwin,28746,33357,31940
13169,Jones,14464,18002,18622
13251,Screven,8444,9765,9145
13319,Wilkinson,6619,6475,5868
13293,Upson,16893,17808,16738
13165,Jenkins,5243,5378,6047
13021,Bibb,100064,100777,99734
13289,Twiggs,6165,7002,5336
13263,Talbot,4288,4490,4184
13145,Harris,13078,18302,21551
13079,Crawford,6550,8814,8146
13107,Emanuel,12630,14211,14377
13167,Johnson,5015,6400,6640
13269,Taylor,4984,5818,5455
13175,Laurens,26372,30078,30166
13225,Peach,15307,17092,18355
13153,Houston,66425,83742,99649
13031,Bulloch,33502,44895,52345
13215,Muscogee,123134,122946,135381
13103,Effingham,19923,29504,37197
13023,Bleckley,6962,7864,8442
13197,Marion,3995,5064,5690
13043,Candler,5253,6383,6759
13053,Chattahoochee,11615,11829,8924
13193,Macon,7944,9552,9482
13283,Treutlen,3676,4623,4358
13091,Dodge,11457,13769,14146
13249,Schley,2343,2598,3254
13235,Pulaski,5142,7152,7475
13209,Montgomery,5168,6180,5959
13279,Toombs,15421,16960,16896
13267,Tattnall,12096,16180,17599
13309,Wheeler,2912,4595,5845
13093,Dooly,6048,8699,9665
13109,Evans,5662,7168,6772
13029,Bryan,13067,17688,22302
13051,Chatham,145517,163034,191129
13307,Webster,1393,1653,1686
13259,Stewart,3279,3703,4140
13261,Sumter,19523,21575,20444
13271,Telfair,6967,10174,11594
13315,Wilcox,4254,6112,6053
13179,Liberty,39830,43604,43713
13081,Crisp,12556,14264,14516
13183,Long,4843,7532,11668
13239,Quitman,1430,1487,1342
13161,Jeff Davis,8080,8779,9334
13273,Terrell,6590,6698,5701
13001,Appling,10259,11752,11744
13243,Randolph,4737,4930,4530
13177,Lee,12696,18077,19672
13287,Turner,5280,5900,4878
13017,Ben Hill,10410,11081,10938
13321,Worth,13393,14367,13458
13305,Wayne,15418,19061,19364
13069,Coffee,20510,26491,28682
13061,Clay,1967,1943,1796
13155,Irwin,5127,6057,5721
13005,Bacon,6501,6774,7251
13191,McIntosh,5863,7937,8889
13095,Dougherty,62404,62563,60423
13037,Calhoun,2951,4445,4640
13277,Tift,22968,25422,26515
13229,Pierce,9456,11054,12038
13099,Early,7172,7293,6370
13019,Berrien,9834,11362,11877
13299,Ware,22364,22778,22643
13127,Glynn,41342,46928,51807
13007,Baker,2259,2591,2106
13205,Mitchell,12556,15634,14927
13003,Atkinson,4176,5142,5302
13025,Brantley,8097,10782,11984
13075,Cook,8796,10440,10830
13071,Colquitt,23468,27945,29139
13201,Miller,3810,3817,3627
13065,Clinch,4110,4530,4300
13173,Lanier,3910,5239,6817
13039,Camden,28272,31644,35045
13087,Decatur,16386,17797,17447
13131,Grady,13092,15312,15832
13027,Brooks,9316,10414,9621
13275,Thomas,24967,27667,28392
13253,Seminole,5957,5686,5274
13049,Charlton,5855,7879,9118
13185,Lowndes,54931,67465,77256
13101,Echols,1415,2692,2594